nom,street,postal_code,city,latitude,longitude,geocode_score,statut,objet,siret,mots_cles
EPICERIE SOCIALE SANCLAUDIENNE,"10, rue de la Glacière",39200,Saint-Claude,46.394633,5.865378,0.9588,Active,"Apporter une réponse aux difficultes rencontrées par les familles et les personnes isolées par la fourniture d'une aide alimentaire permettant l'utilisation des ressources disponibles pour le respect du paiement de leurs charges ou de leur endettement, passer un contrat moral avec les bénéficiaires pour leur permmettre un début d'insertion..",,aide alimentaire
BANQUE ALIMENTAIRE DU JURA,10 RUE Alexandre Volta,39300,Champagnole,46.741808,5.925452,0.9590,Active,"Se référant à la charte des banques alimentaires, elle a pour objet d'apporter aux personnes en difficulté une aide alimentaire par le don et le partage notamment en luttant contre le gaspillage.",,aide alimentaire | banque alimentaire
L'ÉPICERIE DE LA DIE,23 AV de la libération,39400,Hauts de Bienne,46.527101,6.025613,0.8469,Active,gestion d'une épicerie solidaire,,épicerie solidaire
ENTRAIDE JURA,758 RUE du Vivier,39220,Bois-d'Amont,46.533279,6.12951,0.9625,Active,"assurer aide et entraide sous quelque forme que ce soit : morale, financière, matérielle (aide alimentaire, mobilière, soutien psychologique) dans une optique de développement de la solidarité et généralement toute activité matérielle ou morale pouvant se rapporter directement ou indirectement à l'objet social ou susceptible d'en faciliter l'extension ou le développement ;",,aide alimentaire
ASSOCIATION INTER-BDE DE L'INSTITUT UNIVERSITAIRE ET TECHNOLOGIQUE D'ANNECY (INTER-BDE),9 RUE de l'Arc-en-Ciel,74942,Annecy-le-Vieux cedex,45.920391,6.154122,0.7928,Active,"apporter une aide alimentaire et hygiénique aux étudiants du campus en difficulté en partenariat avec l'université de savoie et les organismes sociaux ; apporter une aide aux différents bureaux des étudiants afin de favoriser la communication entre eux ; promouvoir les activités éducatives, culturelles, sportives et récréatives auprès des étudiants avec notamment l'organisation du gala de l'iut et la supervision de l'évènement ""snow contest"""" ",,aide alimentaire
LES PANIERS DE L'AMITIE,16 RUE des Grandes Teppes-Seynod,74600,Annecy,45.892066,6.099377,0.7231,Active,"gérer un centre d'aide alimentaire avec un objectif éducatif auprès des familles en difficulté visant, par une démarche d'insertion le retour à l'autonomie dans une dynamique d'échange en collaboration avec les partenaires institutionnels",,aide alimentaire
LEVE TOI DEBORA !,84 RUE de la Touvière,74540,Saint-Félix,45.800068,5.973427,0.9545,Active,"accueil et hébergement pour les femmes victimes de violences conjugales, accompagnées de leur(s) enfants(s); accompagnement médical, psychologique et social; assistance juridique, aide à la réinsertion sociale, service de crèche et de halte garderie et banque alimentaire",,banque alimentaire
"ACCUEIL SOLIDARITÉ AMITIÉ PARTAGE - ""ASAP"""" -""",18 PL du Château,74150,Rumilly,45.868665,5.943187,0.8225,Active,"aider des personnes de faibles ressources et leur proposer des actions de réinsertion ; accueillir des personnes en difficulté par une aide appropriée sur le plan matériel, moral et spirituel ; apporter une aide alimentaire en logement, habillement et tous besoins essentiels de la vie quotidienne ; apporter toute assistance scolaire, pédagogique, l'accès à la culture et l'insertion professionnelle ; fournir tous moyens possibles pour se déplacer",,aide alimentaire
LES SUSPENDUS D'ANNECY,5 RUE de l'Aurore- Annecy Le-Vieux,74940,Annecy,45.910681,6.144239,0.8226,Active,"développer le concept solidaire des cafés suspendus et de mettre en place un élargissement de ce principe pour mettre à disposition d'autres produits alimentaires (hors alcool) chez les commerçants partenaires anneciens; l'association effectue en parallèle des maraudes afin de distribuer des produits de première nécessité aux sans abris de la ville d'Annecy et peut être amenée à organiser des distributions alimentaires; elle organisera différents événements afin de collecter des dons alimentaires, vestimentaires, de produits d'hygiène et monétaires au profit des plus démunis",,distribution alimentaire
LA TERRE DES LIONS 74,18 RUE Louis Chaumontel,74000,Annecy,45.903715,6.118438,0.9727,Active,"distribuer de repas aux sans-abris 
Distribuer des colis alimentaires aux familles démunies 
Financer des soins en Afrique 
Construire des puits en Afrique",,colis alimentaire
